# 080726_strikes_seconds_pu.csv -- seconds-level per-strike ground truth for the 08.07.2026 induced-Schonhammer-strike campaign (upgrades docs/groundtruth/080726_events_{st,pu}.csv from minute-level to per-strike UTC timestamps).
# Provenance: interactive per-strike annotation (scripts/annotation_kit.py build's index.html) by the author.
# Source: /Users/stefankrummenacher/Downloads/annotation_marks_pu.csv
# Compiled: 2026-08-15 (scripts/annotation_kit.py compile-marks --csv <marks csv>, --date kept explicit for reproducibility).
# CORRECTION 2026-08-15: cross-event snippet-overlap duplicates removed by the
# minute-containment rule (mark kept only if event_start <= t <= event_end + 1.0s);
# 24 marks dropped (the +/-15 s snippet padding shows the neighbouring event's
# strikes at the snippet edge; the annotator marked them in both snippets).
session,event_id,kind,strike_no,strike_utc,confidence,notes
pu,01,plate-gen_0,1,2026-07-08T12:43:01.568000+00:00,,
pu,01,plate-gen_0,2,2026-07-08T12:43:02.248000+00:00,,
pu,01,plate-gen_0,3,2026-07-08T12:43:03.023000+00:00,,
pu,02,plate-gen_90,1,2026-07-08T12:44:01.822000+00:00,,
pu,02,plate-gen_90,2,2026-07-08T12:44:02.654000+00:00,,
pu,02,plate-gen_90,3,2026-07-08T12:44:03.391000+00:00,,
pu,03,plate-gen_180,1,2026-07-08T12:45:03.051000+00:00,,
pu,03,plate-gen_180,2,2026-07-08T12:45:03.869000+00:00,,
pu,03,plate-gen_180,3,2026-07-08T12:45:04.590000+00:00,,
pu,04,plate-gen_270,1,2026-07-08T12:46:02.120000+00:00,,
pu,04,plate-gen_270,2,2026-07-08T12:46:02.833000+00:00,,
pu,04,plate-gen_270,3,2026-07-08T12:46:03.636000+00:00,,
pu,05,plate-tur_bottom,1,2026-07-08T12:47:02.454000+00:00,,
pu,05,plate-tur_bottom,2,2026-07-08T12:47:03.241000+00:00,,
pu,05,plate-tur_bottom,3,2026-07-08T12:47:04.090000+00:00,,
pu,06,landmark-B_11TG,1,2026-07-08T12:48:03.190000+00:00,,
pu,06,landmark-B_11TG,2,2026-07-08T12:48:03.843000+00:00,,
pu,06,landmark-B_11TG,3,2026-07-08T12:48:04.657000+00:00,,
pu,08,vane-sweep,1,2026-07-08T12:50:29.216000+00:00,,
pu,08,vane-sweep,2,2026-07-08T12:50:29.877000+00:00,,
pu,08,vane-sweep,3,2026-07-08T12:50:30.445000+00:00,,
pu,08,vane-sweep,4,2026-07-08T12:50:33.233000+00:00,,
pu,08,vane-sweep,5,2026-07-08T12:50:33.867000+00:00,,
pu,08,vane-sweep,6,2026-07-08T12:50:34.446000+00:00,,
pu,08,vane-sweep,7,2026-07-08T12:50:37.297000+00:00,,
pu,08,vane-sweep,8,2026-07-08T12:50:37.995000+00:00,,
pu,08,vane-sweep,9,2026-07-08T12:50:38.553000+00:00,,
pu,08,vane-sweep,10,2026-07-08T12:50:41.130000+00:00,,
pu,08,vane-sweep,11,2026-07-08T12:50:41.756000+00:00,,
pu,08,vane-sweep,12,2026-07-08T12:50:42.297000+00:00,,
pu,08,vane-sweep,13,2026-07-08T12:50:46.546000+00:00,,
pu,08,vane-sweep,14,2026-07-08T12:50:47.152000+00:00,,
pu,08,vane-sweep,15,2026-07-08T12:50:47.814000+00:00,,
pu,08,vane-sweep,16,2026-07-08T12:50:49.687000+00:00,,
pu,08,vane-sweep,17,2026-07-08T12:50:50.406000+00:00,,
pu,08,vane-sweep,18,2026-07-08T12:50:50.870000+00:00,,
pu,08,vane-sweep,19,2026-07-08T12:50:56.969000+00:00,,
pu,08,vane-sweep,20,2026-07-08T12:50:57.459000+00:00,,
pu,08,vane-sweep,21,2026-07-08T12:50:58+00:00,,
pu,08,vane-sweep,22,2026-07-08T12:51:00.549000+00:00,,
pu,08,vane-sweep,23,2026-07-08T12:51:01.197000+00:00,,
pu,08,vane-sweep,24,2026-07-08T12:51:01.728000+00:00,,
pu,08,vane-sweep,25,2026-07-08T12:51:03.845000+00:00,,
pu,08,vane-sweep,26,2026-07-08T12:51:04.414000+00:00,,
pu,08,vane-sweep,27,2026-07-08T12:51:05.085000+00:00,,
pu,08,vane-sweep,28,2026-07-08T12:51:07.064000+00:00,,
pu,08,vane-sweep,29,2026-07-08T12:51:07.654000+00:00,,
pu,08,vane-sweep,30,2026-07-08T12:51:08.212000+00:00,,
