# 080726_strikes_seconds_st.csv -- seconds-level per-strike ground truth for the 08.07.2026 controlled-event campaign (upgrades docs/groundtruth/080726_events_{st,pu}.csv from minute-level to per-strike UTC timestamps).
# Provenance: interactive per-strike annotation (scripts/annotation_kit.py build's index.html) by the author.
# Source: /Users/stefankrummenacher/Downloads/annotation_marks_st.csv
# Compiled: 2026-08-15 (scripts/annotation_kit.py compile-marks --csv <marks csv>, --date kept explicit for reproducibility).
# CORRECTION 2026-08-15: cross-event snippet-overlap duplicates removed by the
# minute-containment rule (mark kept only if event_start <= t <= event_end + 1.0s);
# 27 marks dropped (the +/-15 s snippet padding shows the neighbouring event's
# strikes at the snippet edge; the annotator marked them in both snippets).
session,event_id,kind,strike_no,strike_utc,confidence,notes
st,01,landmark-C_EG,1,2026-07-08T10:15:02.243000+00:00,,ich weiss nicht ob das wirklich stillstand ist
st,01,landmark-C_EG,2,2026-07-08T10:15:03.041000+00:00,,ich weiss nicht ob das wirklich stillstand ist
st,01,landmark-C_EG,3,2026-07-08T10:15:04.018000+00:00,,ich weiss nicht ob das wirklich stillstand ist
st,02,plate-gen_0,1,2026-07-08T10:17:06.696000+00:00,,
st,02,plate-gen_0,2,2026-07-08T10:17:07.501000+00:00,,
st,02,plate-gen_0,3,2026-07-08T10:17:08.377000+00:00,,
st,03,plate-gen_90,1,2026-07-08T10:18:02.257000+00:00,,
st,03,plate-gen_90,2,2026-07-08T10:18:02.996000+00:00,,
st,03,plate-gen_90,3,2026-07-08T10:18:03.646000+00:00,,
st,04,plate-gen_180,1,2026-07-08T10:19:02.206000+00:00,,
st,04,plate-gen_180,2,2026-07-08T10:19:02.964000+00:00,,
st,04,plate-gen_180,3,2026-07-08T10:19:03.725000+00:00,,
st,05,plate-gen_270,1,2026-07-08T10:20:02.727000+00:00,,
st,05,plate-gen_270,2,2026-07-08T10:20:03.508000+00:00,,
st,05,plate-gen_270,3,2026-07-08T10:20:04.295000+00:00,,
st,06,plate-tur_bottom,1,2026-07-08T10:21:01.839000+00:00,,
st,06,plate-tur_bottom,2,2026-07-08T10:21:02.533000+00:00,,
st,06,plate-tur_bottom,3,2026-07-08T10:21:03.226000+00:00,,
st,07,landmark-B_11TG,1,2026-07-08T10:22:02.530000+00:00,,
st,07,landmark-B_11TG,2,2026-07-08T10:22:03.249000+00:00,,
st,07,landmark-B_11TG,3,2026-07-08T10:22:03.927000+00:00,,
st,08,landmark-A_kugelschieber,1,2026-07-08T10:23:15.915000+00:00,,ist das stillstand?
st,08,landmark-A_kugelschieber,2,2026-07-08T10:23:16.582000+00:00,,ist das stillstand?
st,08,landmark-A_kugelschieber,3,2026-07-08T10:23:17.242000+00:00,,ist das stillstand?
st,09,vane-sweep,1,2026-07-08T10:24:16.860000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,2,2026-07-08T10:24:23.677000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,3,2026-07-08T10:24:25.974000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,4,2026-07-08T10:24:27.151000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,5,2026-07-08T10:24:29.062000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,6,2026-07-08T10:24:31.001000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,7,2026-07-08T10:24:33.477000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,8,2026-07-08T10:24:35.981000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,9,2026-07-08T10:24:36.819000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,10,2026-07-08T10:24:37.532000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,11,2026-07-08T10:24:41.532000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,12,2026-07-08T10:24:42.202000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,13,2026-07-08T10:24:43+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,14,2026-07-08T10:24:46.352000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,15,2026-07-08T10:24:47.147000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,16,2026-07-08T10:24:47.986000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,17,2026-07-08T10:24:51.407000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,18,2026-07-08T10:24:52.218000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,19,2026-07-08T10:24:53.141000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,20,2026-07-08T10:24:56.808000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,21,2026-07-08T10:24:57.659000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,22,2026-07-08T10:24:58.310000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,23,2026-07-08T10:25:01.002000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,24,2026-07-08T10:25:01.767000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,25,2026-07-08T10:25:02.680000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,26,2026-07-08T10:25:05.282000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,27,2026-07-08T10:25:06.109000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,28,2026-07-08T10:25:06.836000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
st,09,vane-sweep,29,2026-07-08T10:25:09.193000+00:00,,hier könnte es sein dass ich ganz feine geräusche nicht gehört habe
