# protocol_pu.csv -- PU-session (pump, -279 MW) reproduction capped to the protocol: <=3 strikes per fixed position (strongest-triplet selection, pick_triplet) and <=3 per vane cluster (gaps >1.5 s split clusters), strike_no numbers each within its slot.
# Provenance: reproduction of the measurement partner's strike-detection method (attributed external reference, sensing-group/hydropower-anomaly, cloned 2026-08-18) on our own raw audio; NOT the partner's own output.
# Method: 5-20 kHz Butterworth-4 bandpass -> 2 ms energy envelope -> per-channel MAD z-score over the 9 mics -> max across channels -> threshold k>30, frames <0.25 s merged into one impulse group; the 3 strongest impulses within each logged position/vane window are kept, extra taps/bounces discarded.
# Run: 2026-08-18/19, results/strike-repro/repro_bruno_strikes.py, on data/illwerke-080726/20260708 Messung/. Timebase: Gantner epoch-2000 wall clock -> true UTC (t_utc = wall - 2h; t_wall kept alongside for cross-check against the partner's minute log).
# EDGE-ARTIFACT CORRECTION: causal-filter ring-in at each read-chunk start produced fake impulses -- 10/94 raw PU detections were such artifacts (one per position minute under pump noise; the partner's own per-minute scan carries the same artifact: his "4th impulses" at PU positions and his lone under-pump landmark detections are the same ring-in transient, not real strikes). Fixed with EDGE_GUARD_S=0.05 (first 50 ms of each chunk excluded from peak search). Validation: guard disabled reproduces the partner's published per-minute table exactly, 30/30 reference values.
# Columns: label,strike_no,t_utc,t_wall,k,loudest_ch. This is the regenerated equivalent of the partner's never-delivered strikes_{ST,PU}.json; see raw_pu.csv for the uncapped impulse list and strikes_register_pu.csv for the slot-level register.
# Independent verification track; canonical per-strike ground truth remains ../080726_strikes_seconds_pu.csv. Full trail: research/notes/analysis_2026-08-18_bruno_180_hits_reproduction.md (master-thesis repo).
label,strike_no,t_utc,t_wall,k,loudest_ch
gen_0,1,2026-07-08T12:43:01.624+00:00,14:43:01.624,1896.7,0
gen_0,2,2026-07-08T12:43:02.362+00:00,14:43:02.362,3859.8,0
gen_0,3,2026-07-08T12:43:03.114+00:00,14:43:03.114,4580.4,0
gen_90,1,2026-07-08T12:44:01.820+00:00,14:44:01.820,7104.0,1
gen_90,2,2026-07-08T12:44:02.644+00:00,14:44:02.644,13651.5,1
gen_90,3,2026-07-08T12:44:03.442+00:00,14:44:03.442,11519.1,1
gen_180,1,2026-07-08T12:45:03.124+00:00,14:45:03.124,1596.1,2
gen_180,2,2026-07-08T12:45:03.882+00:00,14:45:03.882,1465.1,2
gen_180,3,2026-07-08T12:45:04.664+00:00,14:45:04.664,3415.0,6
gen_270,1,2026-07-08T12:46:02.100+00:00,14:46:02.100,927.5,7
gen_270,2,2026-07-08T12:46:02.860+00:00,14:46:02.860,1443.5,7
gen_270,3,2026-07-08T12:46:03.642+00:00,14:46:03.642,578.2,3
tur_bottom,1,2026-07-08T12:47:02.504+00:00,14:47:02.504,2156.3,8
tur_bottom,2,2026-07-08T12:47:03.286+00:00,14:47:03.286,4815.9,8
tur_bottom,3,2026-07-08T12:47:04.078+00:00,14:47:04.078,10674.3,8
B_11TG,1,2026-07-08T12:48:03.248+00:00,14:48:03.248,245.1,8
B_11TG,2,2026-07-08T12:48:03.996+00:00,14:48:03.996,167.1,8
B_11TG,3,2026-07-08T12:48:04.784+00:00,14:48:04.784,117.2,8
tur_0,1,2026-07-08T12:54:02.604+00:00,14:54:02.604,3157.7,4
tur_0,2,2026-07-08T12:54:03.190+00:00,14:54:03.190,5751.2,4
tur_0,3,2026-07-08T12:54:03.838+00:00,14:54:03.838,2767.7,4
tur_90,1,2026-07-08T12:55:01.882+00:00,14:55:01.882,681.2,5
tur_90,2,2026-07-08T12:55:02.484+00:00,14:55:02.484,2151.9,5
tur_90,3,2026-07-08T12:55:03.100+00:00,14:55:03.100,971.3,5
tur_180,1,2026-07-08T12:56:02.350+00:00,14:56:02.350,2565.9,6
tur_180,2,2026-07-08T12:56:02.970+00:00,14:56:02.970,1218.7,2
tur_180,3,2026-07-08T12:56:03.576+00:00,14:56:03.576,2356.6,6
tur_270,1,2026-07-08T12:57:02.214+00:00,14:57:02.214,1808.6,7
tur_270,2,2026-07-08T12:57:02.812+00:00,14:57:02.812,3448.7,7
tur_270,3,2026-07-08T12:57:03.486+00:00,14:57:03.486,11776.4,7
vane_00,1,2026-07-08T12:50:29.326+00:00,14:50:29.326,1069.0,4
vane_00,2,2026-07-08T12:50:29.890+00:00,14:50:29.890,701.7,4
vane_00,3,2026-07-08T12:50:30.472+00:00,14:50:30.472,531.6,4
vane_01,1,2026-07-08T12:50:33.294+00:00,14:50:33.294,1506.2,4
vane_01,2,2026-07-08T12:50:33.878+00:00,14:50:33.878,785.3,4
vane_01,3,2026-07-08T12:50:34.448+00:00,14:50:34.448,998.7,4
vane_02,1,2026-07-08T12:50:37.412+00:00,14:50:37.412,324.4,0
vane_02,2,2026-07-08T12:50:38.016+00:00,14:50:38.016,412.5,4
vane_02,3,2026-07-08T12:50:38.552+00:00,14:50:38.552,353.3,0
vane_03,1,2026-07-08T12:50:41.176+00:00,14:50:41.176,37.5,1
vane_03,2,2026-07-08T12:50:42.358+00:00,14:50:42.358,113.4,5
vane_04,1,2026-07-08T12:50:46.600+00:00,14:50:46.600,836.1,1
vane_04,2,2026-07-08T12:50:47.230+00:00,14:50:47.230,1944.3,1
vane_04,3,2026-07-08T12:50:47.822+00:00,14:50:47.822,1671.7,1
vane_05,1,2026-07-08T12:50:49.772+00:00,14:50:49.772,349.7,5
vane_05,2,2026-07-08T12:50:50.434+00:00,14:50:50.434,274.3,5
vane_05,3,2026-07-08T12:50:51.028+00:00,14:50:51.028,914.5,5
vane_06,1,2026-07-08T12:50:56.852+00:00,14:50:56.852,178.2,5
vane_06,2,2026-07-08T12:50:57.460+00:00,14:50:57.460,559.5,5
vane_06,3,2026-07-08T12:50:58.070+00:00,14:50:58.070,1910.7,5
vane_07,1,2026-07-08T12:51:00.608+00:00,14:51:00.608,1069.5,5
vane_07,2,2026-07-08T12:51:01.168+00:00,14:51:01.168,566.2,5
vane_07,3,2026-07-08T12:51:01.778+00:00,14:51:01.778,1462.6,5
vane_08,1,2026-07-08T12:51:03.892+00:00,14:51:03.892,560.7,2
vane_08,2,2026-07-08T12:51:04.472+00:00,14:51:04.472,498.5,2
vane_08,3,2026-07-08T12:51:05.016+00:00,14:51:05.016,550.1,2
vane_09,1,2026-07-08T12:51:07.636+00:00,14:51:07.636,73.0,2
vane_09,2,2026-07-08T12:51:08.200+00:00,14:51:08.200,454.7,2
vane_10,1,2026-07-08T12:51:10.224+00:00,14:51:10.224,505.5,6
vane_10,2,2026-07-08T12:51:10.814+00:00,14:51:10.814,1388.9,6
vane_10,3,2026-07-08T12:51:11.382+00:00,14:51:11.382,245.8,6
vane_11,1,2026-07-08T12:51:13.814+00:00,14:51:13.814,943.0,6
vane_11,2,2026-07-08T12:51:14.362+00:00,14:51:14.362,1100.8,6
vane_11,3,2026-07-08T12:51:14.904+00:00,14:51:14.904,543.1,6
vane_12,1,2026-07-08T12:51:20.026+00:00,14:51:20.026,1984.3,6
vane_12,2,2026-07-08T12:51:20.556+00:00,14:51:20.556,2601.6,6
vane_12,3,2026-07-08T12:51:21.098+00:00,14:51:21.098,3010.7,6
vane_13,1,2026-07-08T12:51:23.174+00:00,14:51:23.174,367.4,7
vane_13,2,2026-07-08T12:51:23.738+00:00,14:51:23.738,187.9,7
vane_13,3,2026-07-08T12:51:24.296+00:00,14:51:24.296,1130.5,7
vane_14,1,2026-07-08T12:51:26.758+00:00,14:51:26.758,2509.4,3
vane_14,2,2026-07-08T12:51:27.334+00:00,14:51:27.334,1566.2,3
vane_14,3,2026-07-08T12:51:27.934+00:00,14:51:27.934,2684.3,3
vane_15,1,2026-07-08T12:51:59.634+00:00,14:51:59.634,2278.5,7
vane_15,2,2026-07-08T12:52:00.144+00:00,14:52:00.144,2450.2,7
vane_15,3,2026-07-08T12:52:00.710+00:00,14:52:00.710,4370.0,7
